| Sat Dec  9 15:34:58 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:35:02 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 15:35:03 2017 | 265004005    | Makin Eugen | 265004005 | Tomorrow's morning 
| Sat Dec  9 15:48:10 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:48:11 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 15:48:14 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 15:49:09 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:49:10 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 15:49:11 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:49:12 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 15:49:16 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 15:49:22 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:49:26 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 15:49:33 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 15:50:17 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:50:19 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 15:50:20 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:50:21 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 15:50:22 2017 | 265004005    | Makin Eugen | 265004005 | Later 
| Sat Dec  9 15:50:27 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 15:50:31 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:58:49 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 15:58:50 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 15:58:51 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:20:11 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:20:13 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:20:15 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:20:44 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 16:20:45 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:20:50 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:22:42 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:22:44 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:24:39 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 16:24:48 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:24:51 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:24:52 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:26:23 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:26:23 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:26:23 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:26:24 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:26:25 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:26:33 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:27:45 2017 | 265004005    | Makin Eugen | 265004005 | /start 
