0|insurance_occur|Произошел страховой случай, что делать?|0|0|Выберите страховой случай

00|medical_refund|Медицинские расходы|0|0|Выбор характера требуемой помощи
01|accident|Несчастный случай|0|0|Выбор характера требуемой помощи
02|luggage_dissapearance|Пропажа багажа|0|0|Необходимо сообщить о пропаже сотрудникам транспортной организации, получить документы пропажи багажа или письменный отказ
03|trip_canceled|Отмена поездки|0|0|Напишите заявление в страховую о наступлении страхового случая в течении 7 дней с момента наступления

000|maps|Вызов врача|0|0|Вот ближайшие клиники 
001|maps|Амбулаторное или стационарное лечение|0|0|Вот ближайшие клиники 
002|maps|Проведение операции|0|0|Здесь проводят операции 
003|maps|Стоматологические услуги|0|0|Здесь можно получить стоматологические услуги
004|maps|Врачебные услуги (перевязки)|0|0|Вот ближайшие клиники

010|maps|Ранение|0|0|Вот ближайшие клиники 
011|maps|Ушиб, вывих или растяжение|0|0|Вот ближайшие клиники 
012|maps|Ожог|0|0|Вот ближайшие клиники 
013|maps|Перелом|0|0|Вот ближайшие клиники 


020|docs|Заявление об утере багажа|0|0|Ничего
021|docs|Акт перевозчика|0|0|Ничего
022|docs|Бирки|0|0|Ничего
023|docs|Расходный кассовый ордер|0|0|Ничего
024|docs|Полис|0|0|Ничего

030|open_doc_cancel|Список необходимых документов|0|0|Ничего

0300|docs|Заявление об отмене поездки|0|0|Ничего
0301|docs|Полис|0|0|Ничего
0302|docs|Загранпаспорт|0|0|Ничего
0303|docs|Договор|0|0|Ничего
0304|docs|Подтверждение расходов|0|0|Ничего
0305|docs|Другие|0|0|Ничего
